,model_uuid,model_path,ampl_version,model_type,dataset_key,features,splitter,split_strategy,split_uuid,model_score_type,feature_transform_type,weight_transform_type,model_choice_score,best_train_r2_score,best_train_rms_score,best_train_mae_score,best_train_num_compounds,best_valid_r2_score,best_valid_rms_score,best_valid_mae_score,best_valid_num_compounds,best_test_r2_score,best_test_rms_score,best_test_mae_score,best_test_num_compounds,max_epochs,best_epoch,learning_rate,layer_sizes,dropouts,rf_estimators,rf_max_features,rf_max_depth,xgb_gamma,xgb_learning_rate,xgb_max_depth,xgb_colsample_bytree,xgb_subsample,xgb_n_estimators,xgb_min_child_weight,model_parameters_dict,feat_parameters_dict
5,96d385b9-4450-4a5a-8735-bc9324e3afbf,models/CDK_1_all_curated_model_96d385b9-4450-4a5a-8735-bc9324e3afbf.tar.gz,1.6.1,RF,c:\Desktop\Hackathon\Single_protein\CDK_1_all_curated.csv,rdkit_raw,random,train_valid_test,bfd30f7c-f9fc-4d67-99c0-6c7eafccc8c0,r2,normalization,,0.612848053656905,0.9408905296627078,0.29629070566179383,0.21692743074044385,1726,0.612848053656905,0.7535850376196372,0.5416496193001875,370,0.5518420393617229,0.7999499714555802,0.5658074664859599,371,,,,,,500.0,32.0,,,,,,,,,"{""rf_estimators"": 500, ""rf_max_depth"": null, ""rf_max_features"": 32}",{}
9,f3b39149-4268-40c4-9e45-a1a9d0c85d4d,models/CDK_1_all_curated_model_f3b39149-4268-40c4-9e45-a1a9d0c85d4d.tar.gz,1.6.1,RF,c:\Desktop\Hackathon\Single_protein\CDK_1_all_curated.csv,rdkit_raw,random,train_valid_test,03b80b96-36b7-4e3a-8263-f500c3ba49ba,r2,normalization,,0.592412107911106,0.935751776397436,0.31092290021532754,0.22655119712614033,1356,0.592412107911106,0.7766329113909276,0.5808687820867552,740,0.5631817205208227,0.7581513599670484,0.5373967333955066,371,,,,,,500.0,32.0,,,,,,,,,"{""rf_estimators"": 500, ""rf_max_depth"": null, ""rf_max_features"": 32}",{}
6,ab837d7f-4c35-4029-91e7-301184eeb89b,models/CDK_1_all_curated_model_ab837d7f-4c35-4029-91e7-301184eeb89b.tar.gz,1.6.1,RF,c:\Desktop\Hackathon\Single_protein\CDK_1_all_curated.csv,rdkit_raw,random,k_fold_cv,815aed32-aec6-415c-9574-d298fd4bdd76,r2,normalization,,0.579115809647326,0.9393035393450729,0.29279687356808487,0.21094573483807794,2220,0.5786558478444286,0.7843668564304809,0.5690292707120133,2220,0.5723203614522804,0.8122955677089098,0.5990171232350503,247,,,,,,500.0,32.0,,,,,,,,,"{""rf_estimators"": 500, ""rf_max_depth"": null, ""rf_max_features"": 32}",{}
14,8c572243-2064-47cc-b9ed-5cd2e34b9119,models/curated_cdk_1_model_8c572243-2064-47cc-b9ed-5cd2e34b9119.tar.gz,1.7.0,RF,c:\Desktop\Hackathon\Single_protein\curated_cdk_1.csv,rdkit_raw,random,train_valid_test,f9be6f68-6590-4151-8484-ae4ebc6ddae0,r2,normalization,,0.5656893594913703,0.9432181867618379,0.2899974825519031,0.2095379953721646,1973,0.5656893594913703,0.8096142656320706,0.5723945110867326,247,0.5789686880207017,0.7625627046620715,0.5590232124492592,247,,,,,,500.0,32.0,,,,,,,,,"{""rf_estimators"": 500, ""rf_max_depth"": null, ""rf_max_features"": 32}",{}
8,eded78be-90c6-4076-8b70-e5569795bd58,models/CDK_1_all_curated_model_eded78be-90c6-4076-8b70-e5569795bd58.tar.gz,1.6.1,RF,c:\Desktop\Hackathon\Single_protein\CDK_1_all_curated.csv,rdkit_raw,random,train_valid_test,43a0194a-f87f-4035-ac4e-c93d1ab2f7a2,r2,normalization,,0.5400556650860415,0.9423311084716027,0.2903571575426842,0.21073106529738583,1850,0.5400556650860415,0.8028480909316318,0.5601138199550325,246,0.626979290575048,0.767981821420918,0.5619549664263491,371,,,,,,500.0,32.0,,,,,,,,,"{""rf_estimators"": 500, ""rf_max_depth"": null, ""rf_max_features"": 32}",{}
7,b9f174ba-e2a7-4139-974d-8b71f1899508,models/CDK_1_all_curated_model_b9f174ba-e2a7-4139-974d-8b71f1899508.tar.gz,1.6.1,RF,c:\Desktop\Hackathon\Single_protein\CDK_1_all_curated.csv,rdkit_raw,random,train_valid_test,ba5f8462-c47c-4a31-98f2-73f399e222b7,r2,normalization,,0.4990063044086249,0.9438508068818388,0.294494360704713,0.21228939331465949,1480,0.4990063044086249,0.842991749537196,0.6008258731103637,616,0.45927007966463507,0.8308110660483059,0.607023221879332,371,,,,,,500.0,32.0,,,,,,,,,"{""rf_estimators"": 500, ""rf_max_depth"": null, ""rf_max_features"": 32}",{}
0,5f309549-3a32-472e-97bd-be53a71642d6,models/CDK_1_all_curated_model_5f309549-3a32-472e-97bd-be53a71642d6.tar.gz,1.6.1,NN,c:\Desktop\Hackathon\Single_protein\CDK_1_all_curated.csv,rdkit_raw,random,train_valid_test,6511638d-f8f9-49a8-aedb-f5fbcbef3366,r2,normalization,,0.40575614715930497,0.50696078797377,0.8560814527669433,0.6216105049655584,1726,0.40575614715930497,0.9409493493220186,0.7102524076370763,370,0.4335228609509836,0.8898344309889376,0.6577061678756745,371,30.0,29.0,0.0005,"200,100","0.40,0.40",,,,,,,,,,,"{""best_epoch"": 29, ""dropouts"": [0.4, 0.4], ""layer_sizes"": [200, 100], ""learning_rate"": 0.0005, ""max_epochs"": 30}",{}
11,a5eaef75-8ad4-44ed-a9f8-2c3d5eaeb020,models/CDK_1_all_curated_model_a5eaef75-8ad4-44ed-a9f8-2c3d5eaeb020.tar.gz,1.6.1,RF,c:\Desktop\Hackathon\Single_protein\CDK_1_all_curated.csv,rdkit_raw,scaffold,train_valid_test,01dbe363-5d0e-449e-b674-172195134d28,r2,normalization,,0.32414188466540284,0.9489485063276445,0.28745938041877367,0.20176574043816123,1726,0.32414188466540284,0.8515274807588811,0.6787287434322757,370,0.255515337328842,0.8845224198555898,0.6987645457915937,371,,,,,,500.0,32.0,,,,,,,,,"{""rf_estimators"": 500, ""rf_max_depth"": null, ""rf_max_features"": 32}",{}
10,12648c3a-a6ed-41d0-90a7-f2b2567c5df5,models/CDK_1_all_curated_model_12648c3a-a6ed-41d0-90a7-f2b2567c5df5.tar.gz,1.6.1,RF,c:\Desktop\Hackathon\Single_protein\CDK_1_all_curated.csv,rdkit_raw,scaffold,train_valid_test,913e2293-ac11-4b26-bcdc-db1113e1e59c,r2,normalization,,0.32109967428911124,0.9487909283843409,0.2879026814308835,0.2012641564828487,1726,0.32109967428911124,0.8534418005448098,0.6794718704878203,370,0.24589940998728066,0.8902164354348521,0.7051190586773203,371,,,,,,500.0,32.0,,,,,,,,,"{""rf_estimators"": 500, ""rf_max_depth"": null, ""rf_max_features"": 32}",{}
2,6eaa93ac-f80a-46b4-a45a-bb6355a1e375,models/CDK_1_all_curated_model_6eaa93ac-f80a-46b4-a45a-bb6355a1e375.tar.gz,1.6.1,RF,c:\Desktop\Hackathon\Single_protein\CDK_1_all_curated.csv,rdkit_raw,fingerprint,train_valid_test,2a90ebd5-39c4-45a0-8a1e-38344d696ccb,r2,normalization,,0.2408397204053111,0.9503510819917506,0.2763600392182302,0.19023617004041843,1726,0.2408397204053111,0.8772020177757777,0.6388900960668298,370,-0.28316831088008665,1.3353622889915977,1.0076346094455528,371,,,,,,500.0,32.0,,,,,,,,,"{""rf_estimators"": 500, ""rf_max_depth"": null, ""rf_max_features"": 32}",{}
1,0461eadf-b1ec-4632-9476-a09c12a415ad,models/CDK_1_all_curated_model_0461eadf-b1ec-4632-9476-a09c12a415ad.tar.gz,1.6.1,RF,c:\Desktop\Hackathon\Single_protein\CDK_1_all_curated.csv,rdkit_raw,fingerprint,train_valid_test,fcacce07-1b94-41f0-bb2c-18921dfef605,r2,normalization,,0.23464625695301256,0.9503228494324516,0.2764386032900494,0.18942905749504227,1726,0.23464625695301256,0.8807729914544866,0.6453909000658709,370,-0.2821452928816057,1.3348298677818904,1.007177188850076,371,,,,,,500.0,32.0,,,,,,,,,"{""rf_estimators"": 500, ""rf_max_depth"": null, ""rf_max_features"": 32}",{}
12,2874909a-2ab8-4820-9e2f-ca46e34ebcbc,models/cdk_all_model_2874909a-2ab8-4820-9e2f-ca46e34ebcbc.tar.gz,1.7.0,NN,c:\Desktop\Hackathon\Single_protein\cdk_all.csv,rdkit_raw,multitaskscaffold,train_valid_test,4024e393-db38-4468-ad14-6280111706a9,r2,normalization,,0.23360432281590437,0.42520355704097834,0.8205193871542126,0.5375329898098934,4095,0.23360432281590437,0.810878433216432,0.5893282816272222,1454,0.3117338688530868,0.8413325243092837,0.5962903101848397,1514,100.0,24.0,0.0005,"128,64","0.30,0.30",,,,,,,,,,,"{""best_epoch"": 24, ""dropouts"": [0.3, 0.3], ""layer_sizes"": [128, 64], ""learning_rate"": 0.0005, ""max_epochs"": 100}",{}
3,b9af7ab8-c016-40e9-98c8-7d7a010adc77,models/CDK_1_all_curated_model_b9af7ab8-c016-40e9-98c8-7d7a010adc77.tar.gz,1.6.1,RF,c:\Desktop\Hackathon\Single_protein\CDK_1_all_curated.csv,rdkit_raw,fingerprint,train_valid_test,04795c71-5f2e-4b6d-a898-9ec485602b1d,r2,normalization,,0.22945354538009155,0.9493456670446911,0.28328485762911776,0.1964726739268997,1850,0.22945354538009155,0.9613744059093577,0.7707141078475116,246,-0.0025408252404159892,1.0193340272814755,0.7644193426693334,371,,,,,,500.0,32.0,,,,,,,,,"{""rf_estimators"": 500, ""rf_max_depth"": null, ""rf_max_features"": 32}",{}
13,799c6d99-67cc-41b3-96b4-2ad058096e6f,models/cdk_all_model_799c6d99-67cc-41b3-96b4-2ad058096e6f.tar.gz,1.7.0,NN,c:\Desktop\Hackathon\Single_protein\cdk_all.csv,rdkit_raw,multitaskscaffold,train_valid_test,4024e393-db38-4468-ad14-6280111706a9,r2,normalization,,0.18551219262764684,0.33212992604681146,0.8843579719925906,0.6040410735236946,4095,0.18551219262764684,0.8470002574987292,0.6327404609389473,1454,0.26634044290319736,0.8737027788396308,0.6319504134010183,1514,100.0,12.0,0.0005,"128,64","0.30,0.30",,,,,,,,,,,"{""best_epoch"": 12, ""dropouts"": [0.3, 0.3], ""layer_sizes"": [128, 64], ""learning_rate"": 0.0005, ""max_epochs"": 100}",{}
4,c1683505-b2fc-4c05-a21d-8e37bdc3a6bf,models/CDK_1_all_curated_model_c1683505-b2fc-4c05-a21d-8e37bdc3a6bf.tar.gz,1.6.1,RF,c:\Desktop\Hackathon\Single_protein\CDK_1_all_curated.csv,rdkit_raw,fingerprint,train_valid_test,834c676f-13d1-4e32-814f-3aeb6a8f947b,r2,normalization,,0.15196833444861113,0.9512946257263835,0.2937989140186799,0.20381277540464354,1480,0.15196833444861113,0.9002658132606262,0.7112090642323741,616,0.07068781977624683,1.0266119971829926,0.795577770926453,371,,,,,,500.0,32.0,,,,,,,,,"{""rf_estimators"": 500, ""rf_max_depth"": null, ""rf_max_features"": 32}",{}
